PB0=0.01, PA7=0.03, PA6=0.03, PA5=0.00, PA4=0.05, PA3=0.01, PA2=0.04, PA1=0.05, PA0=0.01
FSR Live: PB0=0.00, PA7=0.01, PA6=0.04, PA5=0.05, PA4=0.01, PA3=0.04, PA2=0.06, PA1=0.01, PA0=0.05
FSR Live: PB0=0.00, PA7=0.00, PA6=0.03, PA5=0.05, PA4=0.04, PA3=0.05, PA2=0.03, PA1=0.03, PA0=0.05
FSR Live: PB0=0.01, PA7=0.01, PA6=0.03, PA5=0.05, PA4=0.04, PA3=0.08, PA2=0.06, PA1=0.04, PA0=0.10
FSR Live: PB0=0.00, PA7=0.01, PA6=0.01, PA5=0.04, PA4=0.05, PA3=0.06, PA2=0.04, PA1=0.05, PA0=0.04
FSR Live: PB0=0.04, PA7=0.00, PA6=0.01, PA5=0.01, PA4=0.05, PA3=0.08, PA2=0.08, PA1=0.04, PA0=0.03
FSR Live: PB0=0.01, PA7=0.01, PA6=0.00, PA5=0.05, PA4=0.01, PA3=0.06, PA2=0.05, PA1=0.10, PA0=0.00
FSR Live: PB0=0.01, PA7=0.00, PA6=0.01, PA5=0.01, PA4=0.03, PA3=0.08, PA2=0.04, PA1=0.06, PA0=0.01
FSR Live: PB0=0.00, PA7=0.01, PA6=0.04, PA5=0.08, PA4=0.06, PA3=0.03, PA2=0.04, PA1=0.04, PA0=0.03
FSR Live: PB0=0.01, PA7=0.01, PA6=0.03, PA5=0.03, PA4=0.03, PA3=0.06, PA2=0.03, PA1=0.00, PA0=0.03
FSR Live: PB0=0.03, PA7=0.01, PA6=0.03, PA5=0.09, PA4=0.03, PA3=0.04, PA2=0.04, PA1=0.09, PA0=0.06
FSR Live: PB0=0.03, PA7=0.01, PA6=0.01, PA5=0.04, PA4=0.04, PA3=0.06, PA2=0.03, PA1=0.05, PA0=0.01
FSR Live: PB0=0.03, PA7=0.01, PA6=0.00, PA5=0.03, PA4=0.05, PA3=0.08, PA2=0.01, PA1=0.04, PA0=0.01
FSR Live: PB0=0.03, PA7=0.01, PA6=0.01, PA5=0.09, PA4=0.01, PA3=0.03, PA2=0.01, PA1=0.04, PA0=0.03
FSR Live: PB0=0.00, PA7=0.00, PA6=0.03, PA5=0.05, PA4=0.05, PA3=0.10, PA2=0.05, PA1=0.04, PA0=0.04
FSR Live: PB0=0.01, PA7=0.00, PA6=0.00, PA5=0.06, PA4=0.01, PA3=0.03, PA2=0.08, PA1=0.04, PA0=0.08
FSR Live: PB0=0.00, PA7=0.00, PA6=0.08, PA5=0.05, PA4=0.05, PA3=0.04, PA2=0.03, PA1=0.08, PA0=0.05
FSR Live: PB0=0.01, PA7=0.04, PA6=0.04, PA5=0.03, PA4=0.05, PA3=0.05, PA2=0.09, PA1=0.09, PA0=0.04
FSR Live: PB0=0.04, PA7=0.03, PA6=0.05, PA5=0.01, PA4=0.00, PA3=0.05, PA2=0.01, PA1=0.01, PA0=0.04
FSR Live: PB0=0.04, PA7=0.00, PA6=0.01, PA5=0.00, PA4=0.01, PA3=0.06, PA2=0.05, PA1=0.03, PA0=0.06
FSR Live: PB0=0.00, PA7=0.00, PA6=0.03, PA5=0.01, PA4=0.04, PA3=0.06, PA2=0.06, PA1=0.09, PA0=0.08
FSR Live: PB0=0.00, PA7=0.00, PA6=0.03, PA5=0.05, PA4=0.03, PA3=0.00, PA2=0.04, PA1=0.01, PA0=0.09
FSR Live: PB0=0.03, PA7=0.03, PA6=0.05, PA5=0.06, PA4=0.04, PA3=0.04, PA2=0.04, PA1=0.04, PA0=0.06
FSR Live: PB0=0.00, PA7=0.01, PA6=0.04, PA5=0.03, PA4=0.04, PA3=0.03, PA2=0.04, PA1=0.04, PA0=0.00
FSR Live: PB0=0.00, PA7=0.04, PA6=0.00, PA5=0.06, PA4=0.05, PA3=0.01, PA2=0.01, PA1=0.05, PA0=0.04
FSR Live: PB0=0.00, PA7=0.03, PA6=0.00, PA5=0.10, PA4=0.05, PA3=0.04, PA2=0.04, PA1=0.04, PA0=0.05
FSR Live: PB0=0.00, PA7=0.05, PA6=0.03, PA5=0.06, PA4=0.03, PA3=0.08, PA2=0.04, PA1=0.08, PA0=0.01
